number,id,priority,title,author,first_published,latest_published,published,domain,pillar,category,subcategory,topic,slug,difficulty,status,path,type,reading_mode,summary_depth,learning_stage,prerequisites,primary_source
0011,0011,P0,A Mind for Numbers: How to Excel at Math and Science,Barbara Oakley,2014,2014,2014,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,How Learning Works,Spaced Learning,A-Mind-for-Numbers,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/A-Mind-for-Numbers.md,nonfiction,summary,detailed,Foundation,,
0012,0012,P1,How Learning Works: 7 Research-Based Principles for Smart Teaching,Susan A. Ambrose; Michael W. Bridges; Michele DiPietro,2010,2023,2010,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,How Learning Works,Spaced Learning,How-Learning-Works,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/How-Learning-Works.md,nonfiction,summary,detailed,Foundation,,
0013,0013,P2,Learning as a Generative Activity: Eight Learning Strategies that Promote Understanding,Logan Fiorella; Richard E. Mayer,2015,2015,2015,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,How Learning Works,Spaced Learning,Learning-as-a-Generative-Activity,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Learning-as-a-Generative-Activity.md,nonfiction,summary,detailed,Foundation,,
0014,0014,P2,The Principles of Psychology,William James,1890,2012,1890,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,How Learning Works,Spaced Learning,The-Principles-of-Psychology,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/The-Principles-of-Psychology.md,nonfiction,summary,detailed,Foundation,,
0015,0015,P3,Memory: A Contribution to Experimental Psychology,Hermann Ebbinghaus,1885,2013,1885,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,How Learning Works,Spaced Learning,Memory-Ebbinghaus,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Memory-Ebbinghaus.md,nonfiction,summary,detailed,Foundation,,
0016,0016,P0,Peak: Secrets from the New Science of Expertise,Anders Ericsson; Robert Pool,2016,2017,2016,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Skill Acquisition,Deliberate Practice,Peak,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Peak.md,nonfiction,summary,detailed,Foundation,,
0017,0017,P1,Talent Is Overrated: What Really Separates World-Class Performers from Everybody Else,Geoff Colvin,2008,2010,2008,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Skill Acquisition,Deliberate Practice,Talent-Is-Overrated,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Talent-Is-Overrated.md,nonfiction,summary,detailed,Foundation,,
0018,0018,P1,The Talent Code: Greatness Isn't Born. It's Grown. Here's How.,Daniel Coyle,2009,2009,2009,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Skill Acquisition,Deliberate Practice,The-Talent-Code,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/The-Talent-Code.md,nonfiction,summary,detailed,Foundation,,
0019,0019,P2,The Little Book of Talent: 52 Tips for Improving Your Skills,Daniel Coyle,2012,2012,2012,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Skill Acquisition,Deliberate Practice,The-Little-Book-of-Talent,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/The-Little-Book-of-Talent.md,nonfiction,summary,detailed,Foundation,,
0020,0020,P3,The Cambridge Handbook of Expertise and Expert Performance,K. Anders Ericsson,2006,2018,2006,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Skill Acquisition,Deliberate Practice,Cambridge-Handbook-of-Expertise,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Cambridge-Handbook-of-Expertise.md,nonfiction,summary,detailed,Foundation,,
0021,0021,P1,Thanks for the Feedback: The Science and Art of Receiving Feedback Well,Douglas Stone; Sheila Heen,2014,2015,2014,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Skill Acquisition,Feedback Loops,Thanks-for-the-Feedback,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Thanks-for-the-Feedback.md,nonfiction,summary,detailed,Foundation,,
0022,0022,P2,The Feedback Imperative: How to Give Everyday Feedback to Speed Up Your Team's Success,Anna Carroll,2014,2014,2014,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Skill Acquisition,Feedback Loops,The-Feedback-Imperative,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/The-Feedback-Imperative.md,nonfiction,summary,detailed,Foundation,,
0023,0023,P1,Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Scott,2017,2019,2017,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Skill Acquisition,Feedback Loops,Radical-Candor,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Radical-Candor.md,nonfiction,summary,detailed,Foundation,,
0024,0024,P3,Feedback That Works: How to Build and Deliver Your Message,Sloan R. Weitzel,2000,2007,2000,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Skill Acquisition,Feedback Loops,Feedback-That-Works,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Feedback-That-Works.md,nonfiction,summary,detailed,Foundation,,
0025,0025,P2,The Power of Feedback,John Hattie; Helen Timperley,2007,2007,2007,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Skill Acquisition,Feedback Loops,The-Power-of-Feedback,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/The-Power-of-Feedback.md,nonfiction,summary,detailed,Foundation,,
0026,0026,P1,Mastery,Robert Greene,2012,2012,2012,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Skill Acquisition,Building Expertise,Mastery-Greene,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Mastery-Greene.md,nonfiction,summary,detailed,Foundation,,
0027,0027,P0,Range: Why Generalists Triumph in a Specialized World,David Epstein,2019,2021,2019,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Skill Acquisition,Building Expertise,Range,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Range.md,nonfiction,summary,detailed,Foundation,,
0028,0028,P1,The Art of Learning: An Inner Journey to Optimal Performance,Josh Waitzkin,2007,2008,2007,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Skill Acquisition,Building Expertise,The-Art-of-Learning,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/The-Art-of-Learning.md,nonfiction,summary,detailed,Foundation,,
0029,0029,P2,Expert: Understanding the Path to Mastery,Roger Kneebone,2020,2021,2020,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Skill Acquisition,Building Expertise,Expert-Kneebone,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Expert-Kneebone.md,nonfiction,summary,detailed,Foundation,,
0030,0030,P1,Sources of Power: How People Make Decisions,Gary Klein,1998,2017,1998,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Skill Acquisition,Building Expertise,Sources-of-Power,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Sources-of-Power.md,nonfiction,summary,detailed,Foundation,,
0031,0031,P0,"Ultralearning: Master Hard Skills, Outsmart the Competition, and Accelerate Your Career",Scott H. Young,2019,2019,2019,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Meta-Learning,Learning How to Learn,Ultralearning,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Ultralearning.md,nonfiction,summary,detailed,Foundation,,
0032,0032,P1,Learn Like a Pro: Science-Based Tools to Become Better at Anything,Barbara Oakley; Olav Schewe,2021,2021,2021,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Meta-Learning,Learning How to Learn,Learn-Like-a-Pro,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Learn-Like-a-Pro.md,nonfiction,summary,detailed,Foundation,,
0033,0033,P2,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,Barbara Oakley,2017,2017,2017,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Meta-Learning,Learning How to Learn,Mindshift,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Mindshift.md,nonfiction,summary,detailed,Foundation,,
0034,0034,P2,"Limitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life",Jim Kwik,2020,2023,2020,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Meta-Learning,Learning How to Learn,Limitless,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Limitless.md,nonfiction,summary,detailed,Foundation,,
0035,0035,P1,How We Learn: The New Science of Education and the Brain,Stanislas Dehaene,2020,2021,2020,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Meta-Learning,Learning How to Learn,How-We-Learn-Dehaene,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/How-We-Learn-Dehaene.md,nonfiction,summary,detailed,Foundation,,
0036,0036,P1,The First 20 Hours: How to Learn Anything... Fast!,Josh Kaufman,2013,2013,2013,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Meta-Learning,Accelerated Learning,The-First-20-Hours,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/The-First-20-Hours.md,nonfiction,summary,detailed,Foundation,,
0037,0037,P2,Accelerated Learning for the 21st Century,Colin Rose; Malcolm J. Nicholl,1997,1998,1997,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Meta-Learning,Accelerated Learning,Accelerated-Learning-21st-Century,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Accelerated-Learning-21st-Century.md,nonfiction,summary,detailed,Foundation,,
0038,0038,P1,Mastery: The Keys to Success and Long-Term Fulfillment,George Leonard,1992,1992,1992,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Meta-Learning,Accelerated Learning,Mastery-Leonard,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Mastery-Leonard.md,nonfiction,summary,detailed,Foundation,,
0039,0039,P3,Super Reading: How to Read Faster and Retain More,Ron Cole,2018,2020,2018,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Meta-Learning,Accelerated Learning,Super-Reading,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Super-Reading.md,nonfiction,summary,detailed,Foundation,,
0040,0040,P2,"The 4-Hour Chef: The Simple Path to Cooking Like a Pro, Learning Anything, and Living the Good Life",Timothy Ferriss,2012,2012,2012,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Meta-Learning,Accelerated Learning,The-4-Hour-Chef,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/The-4-Hour-Chef.md,nonfiction,summary,detailed,Foundation,,
0041,0041,P1,How to Become a Straight-A Student,Cal Newport,2006,2006,2006,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Meta-Learning,Self-Directed Learning,How-to-Become-a-Straight-A-Student,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/How-to-Become-a-Straight-A-Student.md,nonfiction,summary,detailed,Foundation,,
0042,0042,P2,The Self-Directed Learning Handbook,Maurice Gibbons,2002,2002,2002,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Meta-Learning,Self-Directed Learning,The-Self-Directed-Learning-Handbook,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/The-Self-Directed-Learning-Handbook.md,nonfiction,summary,detailed,Foundation,,
0043,0043,P2,Deschooling Society,Ivan Illich,1971,2002,1971,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Meta-Learning,Self-Directed Learning,Deschooling-Society,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Deschooling-Society.md,nonfiction,summary,detailed,Foundation,,
0044,0044,P3,The Modern Scholar: How to Learn on Your Own,Blake Boles,2014,2015,2014,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Meta-Learning,Self-Directed Learning,The-Modern-Scholar,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/The-Modern-Scholar.md,nonfiction,summary,detailed,Foundation,,
0045,0045,P3,Self-Directed Learner: The Path to Lifelong Education,Peter Hollins,2020,2020,2020,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,Meta-Learning,Self-Directed Learning,Self-Directed-Learner,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Self-Directed-Learner.md,nonfiction,summary,detailed,Foundation,,
0046,0046,P1,Introduction to Logic,Irving M. Copi; Carl Cohen; Victor Rodych,1953,2018,1953,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",02-CRITICAL-THINKING-REASONING,Logic,Formal Reasoning,Introduction-to-Logic,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/02-CRITICAL-THINKING-REASONING/Introduction-to-Logic.md,nonfiction,summary,detailed,Foundation,,
0047,0047,P2,Logic: The Basics,JC Beall,2010,2017,2010,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",02-CRITICAL-THINKING-REASONING,Logic,Formal Reasoning,Logic-The-Basics,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/02-CRITICAL-THINKING-REASONING/Logic-The-Basics.md,nonfiction,summary,detailed,Foundation,,
0048,0048,P1,A Rulebook for Arguments,Anthony Weston,1987,2018,1987,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",02-CRITICAL-THINKING-REASONING,Logic,Formal Reasoning,A-Rulebook-for-Arguments,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/02-CRITICAL-THINKING-REASONING/A-Rulebook-for-Arguments.md,nonfiction,summary,detailed,Foundation,,
0049,0049,P2,Logicomix: An Epic Search for Truth,Apostolos Doxiadis; Christos Papadimitriou,2009,2009,2009,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",02-CRITICAL-THINKING-REASONING,Logic,Formal Reasoning,Logicomix,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/02-CRITICAL-THINKING-REASONING/Logicomix.md,nonfiction,summary,detailed,Foundation,,
0050,0050,P0,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas Hofstadter,1979,1999,1979,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",02-CRITICAL-THINKING-REASONING,Logic,Formal Reasoning,Godel-Escher-Bach,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/02-CRITICAL-THINKING-REASONING/Godel-Escher-Bach.md,nonfiction,summary,detailed,Foundation,,
0051,0051,P1,Asking the Right Questions: A Guide to Critical Thinking,M. Neil Browne; Stuart M. Keeley,1981,2018,1981,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",02-CRITICAL-THINKING-REASONING,Logic,Informal Logic,Asking-the-Right-Questions,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/02-CRITICAL-THINKING-REASONING/Asking-the-Right-Questions.md,nonfiction,summary,detailed,Foundation,,
0052,0052,P2,Attacking Faulty Reasoning: A Practical Guide to Fallacy-Free Arguments,T. Edward Damer,1980,2012,1980,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",02-CRITICAL-THINKING-REASONING,Logic,Informal Logic,Attacking-Faulty-Reasoning,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/02-CRITICAL-THINKING-REASONING/Attacking-Faulty-Reasoning.md,nonfiction,summary,detailed,Foundation,,
0053,0053,P2,Good Thinking: Seven Powerful Ideas That Influence the Way We Think,Guy P. Harrison,2015,2015,2015,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",02-CRITICAL-THINKING-REASONING,Logic,Informal Logic,Good-Thinking,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/02-CRITICAL-THINKING-REASONING/Good-Thinking.md,nonfiction,summary,detailed,Foundation,,
0054,0054,P2,The Art of Reasoning: An Introduction to Logic and Critical Thinking,David Kelley,1988,2013,1988,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",02-CRITICAL-THINKING-REASONING,Logic,Informal Logic,The-Art-of-Reasoning,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/02-CRITICAL-THINKING-REASONING/The-Art-of-Reasoning.md,nonfiction,summary,detailed,Foundation,,
0055,0055,P2,Thinking from A to Z,Nigel Warburton,1996,2007,1996,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",02-CRITICAL-THINKING-REASONING,Logic,Informal Logic,Thinking-from-A-to-Z,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/02-CRITICAL-THINKING-REASONING/Thinking-from-A-to-Z.md,nonfiction,summary,detailed,Foundation,,
0056,0056,P1,Logically Fallacious: The Ultimate Collection of Over 300 Logical Fallacies,Bo Bennett,2012,2017,2012,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",02-CRITICAL-THINKING-REASONING,Logic,Logical Fallacies,Logically-Fallacious,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/02-CRITICAL-THINKING-REASONING/Logically-Fallacious.md,nonfiction,summary,detailed,Foundation,,
0057,0057,P1,An Illustrated Book of Bad Arguments,Ali Almossawi,2013,2013,2013,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",02-CRITICAL-THINKING-REASONING,Logic,Logical Fallacies,An-Illustrated-Book-of-Bad-Arguments,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/02-CRITICAL-THINKING-REASONING/An-Illustrated-Book-of-Bad-Arguments.md,nonfiction,summary,detailed,Foundation,,
0058,0058,P2,"Crimes Against Logic: Exposing the Bogus Arguments of Politicians, Priests, Journalists, and Other Serial Offenders",Jamie Whyte,2004,2005,2004,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",02-CRITICAL-THINKING-REASONING,Logic,Logical Fallacies,Crimes-Against-Logic,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/02-CRITICAL-THINKING-REASONING/Crimes-Against-Logic.md,nonfiction,summary,detailed,Foundation,,
0059,0059,P2,How to Win Every Argument: The Use and Abuse of Logic,Madsen Pirie,2006,2015,2006,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",02-CRITICAL-THINKING-REASONING,Logic,Logical Fallacies,How-to-Win-Every-Argument,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/02-CRITICAL-THINKING-REASONING/How-to-Win-Every-Argument.md,nonfiction,summary,detailed,Foundation,,
0060,0060,P2,Bad Arguments: 100 of the Most Important Fallacies in Western Philosophy,Robert Arp; Steven Barbone; Michael Bruce,2018,2019,2018,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",02-CRITICAL-THINKING-REASONING,Logic,Logical Fallacies,Bad-Arguments-Arp,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/02-CRITICAL-THINKING-REASONING/Bad-Arguments-Arp.md,nonfiction,summary,detailed,Foundation,,
0061,0061,P0,Poor Charlie's Almanack: The Essential Wit and Wisdom of Charles T. Munger,Charles T. Munger; Peter D. Kaufman,2005,2023,2005,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",02-CRITICAL-THINKING-REASONING,Decision-Making,Mental Models,Poor-Charlies-Almanack,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/02-CRITICAL-THINKING-REASONING/Poor-Charlies-Almanack.md,nonfiction,summary,detailed,Foundation,,
0062,0062,P0,Seeking Wisdom: From Darwin to Munger,Peter Bevelin,2003,2007,2003,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",02-CRITICAL-THINKING-REASONING,Decision-Making,Mental Models,Seeking-Wisdom-Bevelin,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/02-CRITICAL-THINKING-REASONING/Seeking-Wisdom-Bevelin.md,nonfiction,summary,detailed,Foundation,,
0063,0063,P1,"All I Want To Know Is Where I'm Going To Die So I'll Never Go There: Buffett & Munger - A Study in Simplicity and Uncommon, Common Sense",Peter Bevelin,2016,2016,2016,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",02-CRITICAL-THINKING-REASONING,Decision-Making,Mental Models,All-I-Want-To-Know-Bevelin,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/02-CRITICAL-THINKING-REASONING/All-I-Want-To-Know-Bevelin.md,nonfiction,summary,detailed,Foundation,,
0064,0064,P1,Mental Models: 30 Thinking Tools that Separate the Average From the Exceptional,Peter Hollins,2019,2019,2019,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",02-CRITICAL-THINKING-REASONING,Decision-Making,Mental Models,Mental-Models-Peter-Hollins,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/02-CRITICAL-THINKING-REASONING/Mental-Models-Peter-Hollins.md,nonfiction,summary,detailed,Foundation,,
0065,0065,P0,The Model Thinker: What You Need to Know to Make Data Work for You,Scott E. Page,2018,2018,2018,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",02-CRITICAL-THINKING-REASONING,Decision-Making,Mental Models,The-Model-Thinker,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/02-CRITICAL-THINKING-REASONING/The-Model-Thinker.md,nonfiction,summary,detailed,Foundation,,
